,Full_Name,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Email,Age,Experience_Years,City,Job_Title,Marital_Status,Education_Level,Salary,Country,Salary_Amount,Salary_Currency,Salary_USD
55,Esraa Ihab,Esraa,Ihab,F,1972-07-08,2004-12-22,esraa.ihab@gmail.com,53,21,Doha,Data Scientist,M,Masters,122114.0 EUR,Qatar,122114,EUR,130661.98
56,Fady Ziad,Fady,Ziad,M,1988-03-13,2011-06-27,fady.ziad@gmail.com,37,14,Cape Town,Civil Engineer,M,Master,11960.5 JPY,South Africa,11960,JPY,78.94
57,Tamer Mahmoud,Tamer,Mahmoud,M,1998-12-10,2021-12-17,tmahmoud@gmail.com,27,4,Paris,Pharmacist,S,High School,55844.0 JPY,France,55844,JPY,368.57
58,Khalil Ayman,Khalil,Ayman,M,1982-08-03,2006-05-12,khalil.ayman@gmail.com,43,19,Seoul,Financial Analyst,S,Master,11485.75 AUD,South Korea,11485,AUD,7465.25
59,Yahya Zaki,Yahya,Zaki,M,1990-12-04,2024-10-05,yahya.zaki@gmail.com,35,1,Cape Town,Architect,M,High School,43700.6537037037 AUD,South Africa,43700,AUD,28405.0
60,Ziad Nabil,Ziad,Nabil,M,1972-04-01,2000-03-04,znabil@gmail.com,53,25,New York,Accountant,M,Masters,10676.42 EUR,United States,10676,EUR,11423.32
61,Mariam Rafik,Mariam,Rafik,F,1996-05-11,2021-04-09,mariam.rafik@gmail.com,29,4,New York,Architect,S,Master,4531.92 USD,United States,4531,USD,4531.0
62,Heba Wael,Heba,Wael,F,1983-05-10,2010-12-08,hwael@gmail.com,42,15,London,Electrical Engineer,S,Diploma,10786.08 CAD,United Kingdom,10786,CAD,7873.78
64,Sherif Mounir,Sherif,Mounir,M,1965-02-12,1998-03-07,sherif.mounir@gmail.com,60,27,Istanbul,Dentist,M,High School,12139.5 AUD,Turkey,12139,AUD,7890.35
65,Abdelrahman Mounir,Abdelrahman,Mounir,M,2001-01-12,2022-06-03,amounir@gmail.com,24,3,Bangkok,Graphic Designer,S,PhD,65857.0 GBP,Thailand,65857,GBP,82321.25
66,Noha Wahid,Noha,Wahid,F,1993-04-14,2023-05-03,noha.wahid@gmail.com,32,2,Seoul,Teacher,S,Bachelor,67746.0 CAD,South Korea,67746,CAD,49454.58
69,Aisha Galal,Aisha,Galal,F,1976-07-01,2011-01-16,aisha.galal@gmail.com,49,15,Seoul,Teacher,S,PhD,8736.17 CAD,South Korea,8736,CAD,6377.28
70,Fatima Ashraf,Fatima,Ashraf,F,1985-11-27,2019-10-12,fatima.ashraf@gmail.com,40,6,Toronto,Electrical Engineer,S,Diploma,94710.0 EGP,Canada,94710,EGP,3030.72
71,Yahya Tarek,Yahya,Tarek,M,1973-10-19,2014-06-14,yahya.tarek@gmail.com,52,11,Dubai,Graphic Designer,S,High School,9878.83 JPY,United Arab Emirates,9878,JPY,65.19
72,Waleed Abdullah,Waleed,Abdullah,M,1977-05-10,2018-09-02,waleed.abdullah@gmail.com,48,8,Alexandria,Civil Engineer,S,Masters,8308.17 CAD,Egypt,8308,CAD,6064.84
73,Reem Hesham,Reem,Hesham,F,1975-08-15,1999-04-17,reem.hesham@gmail.com,50,26,Sharjah,Engineer,S,Bachelor,120075.0 JPY,United Arab Emirates,120075,JPY,792.5
74,Mohamed Rafik,Mohamed,Rafik,M,1992-03-10,2015-01-18,mohamed.rafik@gmail.com,33,11,Jeddah,Engineer,S,PhD,10260.42 USD,Saudi Arabia,10260,USD,10260.0
76,Yahya Abdelrahman,Yahya,Abdelrahman,M,2006-05-25,2024-12-20,yahya.abdelrahman@gmail.com,18,1,São Paulo,Nurse,M,PhD,69719.07913043478 AUD,Brazil,69719,AUD,45317.35
77,Lobna Wael,Lobna,Wael,F,2007-03-27,2025-01-03,lobna.wael@gmail.com,18,0,Kuwait City,Software Developer,S,High School,71342.31785714286 CAD,Kuwait,71342,CAD,52079.66
78,Amal Khaled,Amal,Khaled,F,1983-04-19,2011-03-24,akhaled@gmail.com,42,14,Kuwait City,Engineer,S,Diploma,9698.08 CAD,Kuwait,9698,CAD,7079.54
79,Layla Osama,Layla,Osama,F,1967-02-01,2005-10-09,layla.osama@gmail.com,58,20,São Paulo,Nurse,S,PhD,142704.0 EGP,Brazil,142704,EGP,4566.53
80,Maged Mahmoud,Maged,Mahmoud,M,2005-12-07,2023-05-16,maged.mahmoud@gmail.com,20,2,São Paulo,Software Developer,S,PhD,63936.0 JPY,Brazil,63936,JPY,421.98
81,Salma Hassan,Salma,Hassan,F,2005-03-07,2024-01-17,salma.hassan@gmail.com,20,2,Beijing,Pharmacist,S,Masters,53328.0 EGP,China,53328,EGP,1706.5
82,Hassan Khalil,Hassan,Khalil,M,1992-03-02,2014-09-02,hassan.khalil@gmail.com,33,11,Los Angeles,Teacher,S,Diploma,134571.0 GBP,United States,134571,GBP,168213.75
83,Asmaa Nabil,Asmaa,Nabil,F,2004-10-27,2024-05-07,anabil@gmail.com,21,1,Mumbai,Civil Engineer,S,Diploma,37463.7452631579 GBP,India,37463,GBP,46828.75
84,Ghada Nabil,Ghada,Nabil,F,1980-05-27,2007-06-23,ghada.nabil@gmail.com,45,18,Cairo,Software Developer,S,Bachelor,12076.33 JPY,Egypt,12076,JPY,79.7
85,Ramy Galal,Ramy,Galal,M,1968-06-21,1987-04-17,rgalal@gmail.com,56,38,Cairo,Business Analyst,S,Diploma,10569.5 EUR,Egypt,10569,EUR,11308.83
86,Mariam Waleed,Mariam,Waleed,F,2006-06-16,2026-01-01,mariam.waleed@gmail.com,18,0,Amman,Graphic Designer,S,Master,59525.959677419356 USD,Jordan,59525,USD,59525.0
87,Sana Wael,Sana,Wael,F,2002-07-11,2020-03-08,sana.wael@gmail.com,23,5,Dubai,Electrical Engineer,M,Bachelor,71945.0 AUD,United Arab Emirates,71945,AUD,46764.25
88,Radwa Zaki,Radwa,Zaki,F,1973-01-22,2020-05-17,radwa.zaki@gmail.com,52,5,Mansoura,Engineer,M,Master,7503.75 EUR,Egypt,7503,EUR,8028.21
89,Zainab Osama,Zainab,Osama,F,2005-11-02,2025-12-21,zosama@gmail.com,20,0,Rabat,Mechanical Engineer,S,Bachelor,59839.36727272728 JPY,Morocco,59839,JPY,394.94
90,Fatima Hany,Fatima,Hany,F,1991-09-22,2018-12-20,fatima.hany@gmail.com,34,7,Mexico City,Mechanical Engineer,M,High School,6582.75 USD,Mexico,6582,USD,6582.0
92,Ruqayya Tamer,Ruqayya,Tamer,F,1995-04-17,2019-09-24,rtamer@gmail.com,30,6,Bangkok,Accountant,S,High School,7437.42 EGP,Thailand,7437,EGP,237.98
93,Sahar Mahmoud,Sahar,Mahmoud,F,1971-01-17,2005-05-30,sahar.mahmoud@gmail.com,54,20,Dubai,Civil Engineer,M,Bachelor,12185.33 USD,United Arab Emirates,12185,USD,12185.0
94,Ashraf Hussein,Ashraf,Hussein,M,1970-07-15,2008-01-09,ashraf.hussein@gmail.com,55,18,Mansoura,Nurse,M,Bachelor,109882.0 AUD,Egypt,109882,AUD,71423.3
95,Hanan Hesham,Hanan,Hesham,F,2000-02-21,2018-08-02,hanan.hesham@gmail.com,25,7,Sydney,Architect,S,Bachelor,81697.0 CAD,Australia,81697,CAD,59638.81
96,Hussein Waleed,Hussein,Waleed,M,1987-02-15,2006-01-30,hwaleed@gmail.com,38,20,Mexico City,Mechanical Engineer,S,Masters,104599.0 CAD,Mexico,104599,CAD,76357.27
97,Adel Mahmoud,Adel,Mahmoud,M,1978-06-03,1997-07-10,adel.mahmoud@gmail.com,47,28,Tokyo,Electrical Engineer,M,Diploma,9338.67 USD,Japan,9338,USD,9338.0
98,Nour Youssef,Nour,Youssef,F,1996-04-08,2017-12-24,nour.youssef@gmail.com,29,8,Tokyo,Software Developer,S,Bachelor,86295.0 EUR,Japan,86295,EUR,92335.65
99,Esraa Bassem,Esraa,Bassem,F,2004-08-04,2024-05-02,esraa.bassem@gmail.com,21,2,Doha,Lawyer,S,Master,69411.0 EUR,Qatar,69411,EUR,74269.77
100,Sahar Hesham,Sahar,Hesham,F,1966-08-18,2021-10-16,sahar.hesham@gmail.com,58,4,Dubai,Lawyer,S,High School,56065.0 EGP,United Arab Emirates,56065,EGP,1794.08
102,Mostafa Tamer,Mostafa,Tamer,M,2007-10-09,2025-02-06,mostafa.tamer@gmail.com,17,0,Istanbul,Doctor,M,High School,53848.970357142854 USD,Turkey,53848,USD,53848.0
103,Ziad Jamal,Ziad,Jamal,M,2002-04-24,2022-10-03,ziad.jamal@gmail.com,23,3,Paris,Teacher,M,Bachelor,4919.92 EUR,France,4919,EUR,5263.33
104,Omar Waleed,Omar,Waleed,M,2001-08-08,2022-10-16,omar.waleed@gmail.com,24,3,Doha,Graphic Designer,M,Bachelor,62172.0 USD,Qatar,62172,USD,62172.0
105,Layla Nashaat,Layla,Nashaat,F,1981-03-16,2001-04-30,layla.nashaat@gmail.com,44,24,Rabat,Business Analyst,S,High School,128059.0 AUD,Morocco,128059,AUD,83238.35
106,Hesham Tamer,Hesham,Tamer,M,1967-06-03,2020-02-01,hesham.tamer@gmail.com,57,6,Kuwait City,Architect,M,Diploma,74567.0 CAD,Kuwait,74567,CAD,54433.91
108,Hassan Tarek,Hassan,Tarek,M,2005-07-01,2025-06-11,hassan.tarek@gmail.com,20,0,Mansoura,Mechanical Engineer,M,Bachelor,57971.80223529412 GBP,Egypt,57971,GBP,72463.75
109,Amira Sami,Amira,Sami,F,1969-10-06,2023-05-17,amira.sami@gmail.com,55,2,Jeddah,Sales Manager,M,Master,4435.83 USD,Saudi Arabia,4435,USD,4435.0
110,Yasmeen Medhat,Yasmeen,Medhat,F,1978-01-24,1998-09-28,yasmeen.medhat@gmail.com,47,27,Riyadh,Data Scientist,M,Bachelor,113364.0 AUD,Saudi Arabia,113364,AUD,73686.6
111,Jamal Fady,Jamal,Fady,M,1965-01-11,1997-11-01,jamal.fady@gmail.com,60,28,Beirut,Accountant,M,Master,10775.58 EGP,Lebanon,10775,EGP,344.8
112,Radwa Fady,Radwa,Fady,F,1985-02-11,2007-09-16,radwa.fady@gmail.com,40,18,Amman,Accountant,M,PhD,9982.83 EUR,Jordan,9982,EUR,10680.74
113,Wafaa Tamer,Wafaa,Tamer,F,2003-09-20,2022-07-17,wafaa.tamer@gmail.com,22,3,Abu Dhabi,Doctor,M,Bachelor,62913.0 USD,United Arab Emirates,62913,USD,62913.0
114,Menna Youssef,Menna,Youssef,F,1972-12-25,2010-12-04,myoussef@gmail.com,53,15,Paris,Pharmacist,S,Master,124987.0 EGP,France,124987,EGP,3999.58
115,Hala Ihab,Hala,Ihab,F,1996-08-15,2019-09-23,hala.ihab@gmail.com,29,6,Beijing,Mechanical Engineer,M,Masters,88874.0 EUR,China,88874,EUR,95095.18
116,Abdullah Sherif*,Abdullah,Sherif,M,1967-06-08,2009-05-07,abdullah.sherif@gmail.com,57,16,Buenos Aires,Engineer,S,Diploma,9347.0 CAD,Argentina,9347,CAD,6823.31
117,Mounir Omar,Mounir,Omar,M,1973-07-13,1992-05-09,momar@gmail.com,52,33,Dammam,Teacher,S,Diploma,139282.0 EGP,Saudi Arabia,139282,EGP,4457.02
118,Hossam Abdelrahman,Hossam,Abdelrahman,M,1987-02-16,2026-01-08,hossam.abdelrahman@gmail.com,38,0,Paris,Software Developer,S,Diploma,70012.82806451613 EUR,France,70012,EUR,74912.84
119,Nader Hussein,Nader,Hussein,M,1965-05-11,1991-01-11,nader.hussein@gmail.com,60,34,New York,Lawyer,M,Masters,10313.75 EUR,United States,10313,EUR,11034.91
120,Lobna Fouad,Lobna,Fouad,F,2006-09-22,2025-03-14,lobna.fouad@gmail.com,18,0,Seoul,Data Scientist,M,Bachelor,51674.75681818181 USD,South Korea,51674,USD,51674.0
122,Galal Ziad,Galal,Ziad,M,1997-11-06,2019-01-30,galal.ziad@gmail.com,28,7,Sharjah,Electrical Engineer,S,Diploma,6254.92 JPY,United Arab Emirates,6254,JPY,41.28
124,Amr Galal,Amr,Galal,M,1998-12-01,2021-01-25,agalal@gmail.com,27,5,Beirut,Electrical Engineer,S,Master,87642.0 EUR,Lebanon,87642,EUR,93776.94
125,Mahmoud Hesham,Mahmoud,Hesham,M,2003-03-18,2022-02-14,mhesham@gmail.com,22,4,Cape Town,Electrical Engineer,S,Bachelor,68163.0 JPY,South Africa,68163,JPY,449.88
127,Ruqayya Hesham,Ruqayya,Hesham,F,1968-01-05,2010-03-26,ruqayya.hesham@gmail.com,57,15,Bangkok,Dentist,S,Diploma,106033.0 USD,Thailand,106033,USD,106033.0
128,Sana Galal&,Sana,Galal,F,1970-06-18,2002-02-01,sana.galal@gmail.com,55,24,New York,Engineer,M,High School,11211.67 EGP,United States,11211,EGP,358.75
129,Waleed Tamer,Waleed,Tamer,M,1993-08-12,2015-12-14,waleed.tamer@gmail.com,32,10,Mansoura,Engineer,M,Master,115758.0 CAD,Egypt,115758,CAD,84503.34
131,Aisha Saad,Aisha,Saad,F,1977-01-13,2019-07-14,asaad@gmail.com,48,6,Mansoura,Civil Engineer,M,Bachelor,96905.0 EGP,Egypt,96905,EGP,3100.96
132,Tarek Saad,Tarek,Saad,M,2007-01-26,2025-07-21,tsaad@gmail.com,18,0,Dubai,Sales Manager,S,High School,60037.36148648649 CAD,United Arab Emirates,60037,CAD,43827.01
133,Ihab Ashraf,Ihab,Ashraf,M,1988-12-16,2019-12-10,iashraf@gmail.com,37,6,Istanbul,Sales Manager,S,Master,76678.0 EUR,Turkey,76678,EUR,82045.46
134,Medhat Tamer,Medhat,Tamer,M,1970-07-15,1992-01-05,mtamer@gmail.com,55,34,Buenos Aires,Doctor,S,Bachelor,127400.0 AUD,Argentina,127400,AUD,82810.0
135,Heba Ihab,Heba,Ihab,F,1999-12-03,2023-01-11,heba.ihab@gmail.com,26,3,Los Angeles,Pharmacist,S,PhD,62184.0 AUD,United States,62184,AUD,40419.6
136,Waleed Sherif,Waleed,Sherif,M,1976-01-21,2015-08-21,wsherif@gmail.com,49,10,New York,Engineer,S,High School,148715.0 AUD,United States,148715,AUD,96664.75
137,Sana Medhat,Sana,Medhat,F,1975-05-04,2010-03-25,sana.medhat@gmail.com,50,15,Cape Town,Architect,M,High School,102885.0 GBP,South Africa,102885,GBP,128606.25
138,Noha Wael,Noha,Wael,F,1996-01-14,2020-11-25,nwael@gmail.com,29,5,Tokyo,Lawyer,M,Masters,81300.0 USD,Japan,81300,USD,81300.0
139,Sara Eslam,Sara,Eslam,F,1984-03-13,2014-05-03,seslam@gmail.com,41,11,Rabat,Electrical Engineer,M,Diploma,120443.0 AUD,Morocco,120443,AUD,78287.95
140,Nada Ihab&,Nada,Ihab,F,1991-04-04,2025-10-30,nada.ihab@gmail.com,34,0,Seoul,Graphic Designer,M,Bachelor,41684.315 USD,South Korea,41684,USD,41684.0
141,Sherif Nader,Sherif,Nader,M,1974-01-19,2002-04-20,snader@gmail.com,51,23,Doha,Data Scientist,S,High School,11081.58 JPY,Qatar,11081,JPY,73.13
143,Sara Nabil,Sara,Nabil,F,1986-03-19,2019-04-06,snabil@gmail.com,39,6,Moscow,Lawyer,S,High School,7790.17 JPY,Russia,7790,JPY,51.41
144,Sherif Maged,Sherif,Maged,M,1967-02-04,2001-04-19,sherif.maged@gmail.com,58,24,Dubai,Software Developer,S,High School,133434.0 GBP,United Arab Emirates,133434,GBP,166792.5
145,Omar Mahmoud,Omar,Mahmoud,M,1965-02-19,1995-11-23,omar.mahmoud@gmail.com,60,30,Dubai,Pharmacist,S,Bachelor,10612.5 AUD,United Arab Emirates,10612,AUD,6897.8
148,Zainab Jamal,Zainab,Jamal,F,1992-06-19,2016-09-17,zainab.jamal@gmail.com,33,9,Los Angeles,Pharmacist,M,PhD,7426.08 GBP,United States,7426,GBP,9282.5
149,Layla Jamal,Layla,Jamal,F,2005-04-02,2025-05-21,layla.jamal@gmail.com,20,0,Tokyo,Doctor,S,High School,47549.87380952381 EUR,Japan,47549,EUR,50877.43
150,Sherif Youssef,Sherif,Youssef,M,1981-01-02,2025-08-05,sherif.youssef@gmail.com,44,0,Buenos Aires,Civil Engineer,M,Master,51632.0446875 AUD,Argentina,51632,AUD,33560.8
151, Ashraf Nashaat ,Ashraf,Nashaat,M,1971-04-23,2000-01-12,ashraf.nashaat@gmail.com,54,26,Doha,Civil Engineer,M,Master,10225.42 USD,Qatar,10225,USD,10225.0
152,Menna Mostafa,Menna,Mostafa,F,2006-10-12,2025-04-03,menna.mostafa@gmail.com,18,0,Seoul,Nurse,M,Master,49068.489565217395 USD,South Korea,49068,USD,49068.0
153,Sherif Ziad,Sherif,Ziad,M,1998-09-09,2020-07-21,sherif.ziad@gmail.com,27,5,Rabat,Accountant,S,Masters,7809.25 CAD,Morocco,7809,CAD,5700.57
154,Rania Medhat,Rania,Medhat,F,1978-11-18,2019-01-21,rania.medhat@gmail.com,47,7,Doha,Pharmacist,S,Bachelor,7025.58 EUR,Qatar,7025,EUR,7516.75
155,Nader Ahmed,Nader,Ahmed,M,1986-05-07,2004-06-16,nader.ahmed@gmail.com,39,21,Buenos Aires,Mechanical Engineer,M,Bachelor,140879.0 EGP,Argentina,140879,EGP,4508.13
156, Salma Hossam ,Salma,Hossam,F,1987-10-05,2021-04-14,shossam@gmail.com,38,4,Abu Dhabi,Dentist,M,Masters,65564.0 JPY,United Arab Emirates,65564,JPY,432.72
157,Zaki Abdullah,Zaki,Abdullah,M,2000-11-21,2018-05-28,zaki.abdullah@gmail.com,25,7,Kuwait City,Financial Analyst,S,High School,73644.0 AUD,Kuwait,73644,AUD,47868.6
158,Kamal Ramy,Kamal,Ramy,M,1997-04-15,2018-03-12,kamal.ramy@gmail.com,28,7,Doha,Teacher,S,High School,6610.67 USD,Qatar,6610,USD,6610.0
159,Layla Abdullah,Layla,Abdullah,F,1991-05-13,2024-10-02,layla.abdullah@gmail.com,34,1,Rabat,Electrical Engineer,S,Bachelor,53189.836176470584 JPY,Morocco,53189,JPY,351.05
