Full_Name,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Email,Age,Experience_Years,City,Job_Title,Marital_Status,Education_Level,Salary
Fatima Ashraf,Fatima,Ashraf,F,11/27/1985,10/12/2019,fatima.ashraf@gmail.com,40.0,6,"Toronto, Canada",Electrical Engineer,Single,Diploma,94710.0 EGP
Yahya Tarek,Yahya,Tarek,M,10/19/1973,06/14/2014,yahya.tarek@gmail.com,52.0,11,"Dubai, UAE",#GRAPHIC DESIGNER,S,High School,9878.83 JPY
Waleed Abdullah,Waleed,Abdullah,M,05-10-1977,09-02-2018,waleed.abdullah@gmail.com,48.0,8,"Alexandria, Egypt",cIvIL enGINeEr,Single,Masters,8308.17 CAD
Reem Hesham,Reem,Hesham,F,08/15/1975,04/17/1999,reem.hesham@gmail.com,50.0,26,"Sharjah, UAE",ENGIneeR,Single,B.Sc.,120075.0 JPY
Mohamed Rafik,Mohamed,Rafik,M,03-10-1992,18-01-2015,mohamed.rafik@gmail.com,33.0,11,"Jeddah, KSA",Engineer,Single,PhD,10260.42 USD
Kamal Kamal$,Kamal,Kamal,M,1985/05/16,2014/11/30,kamal.kamal@gmail.com,40.0,11,"Amman, Jordan",Civil Engineer,,Diploma,146607.0 EGP
Yahya Abdelrahman,Yahya,Abdelrahman,M,25-05-2006,20-12-2024,yahya.abdelrahman@gmail.com,,1,"São Paulo, Brazil",Nurse,Married,PhD,
Lobna Wael,Lobna,Wael,F,27-03-2007,01-03-2025,lobna.wael@gmail.com,,0,"Kuwait City, Kuwait",software developer,Single,High School,
Amal Khaled,Amal,Khaled,F,04/19/1983,03/24/2011,akhaled@gmail.com,42.0,14,"Kuwait City, Kuwait",Engineer,Single,Diploma,9698.08 CAD
Layla Osama,Layla,Osama,F,1967/02/01,2005/10/09,layla.osama@gmail.com,,20,"São Paulo, Brazil",NURSE,Single,PhD,142704.0 EGP
Maged Mahmoud,Maged,Mahmoud,M,12/07/2005,05/16/2023,maged.mahmoud@gmail.com,20.0,2,"São Paulo, Brazil",Software Developer,Single,PhD,63936.0 JPY
Salma Hassan,Salma,Hassan,F,03-07-2005,17-01-2024,salma.hassan@gmail.com,20.0,2,"Beijing, China",Pharmacist,Single,Masters,53328.0 EGP
Hassan Khalil,Hassan,Khalil,M,1992/03/02,2014/09/02,hassan.khalil@gmail.com,33.0,11,"Los Angeles, USA",#TEACHER,Single,Diploma,134571.0 GBP
Asmaa Nabil,Asmaa,Nabil,F,27-10-2004,05-07-2024,anabil@gmail.com,21.0,1,"Mumbai, India",civil engineer,Single,Diploma,
Ghada Nabil,Ghada,Nabil,F,1980/05/27,2007/06/23,ghada.nabil@gmail.com,45.0,18,"Cairo, Egypt",Software Devloper,Single,B.Sc.,12076.33 JPY
Ramy Galal,Ramy,Galal,M,06/21/1968,04/17/1987,rgalal@gmail.com,,38,"Cairo, Egypt",Business Analyst,Single,Diploma,10569.5 EUR
Mariam Waleed,Mariam,Waleed,F,2006/06/16,2026/01/01,mariam.waleed@gmail.com,,0,"Amman, Jordan",Graphic Designer,Single,M.Sc.,
Sana Wael,Sana,Wael,F,07/11/2002,03/08/2020,sana.wael@gmail.com,23.0,5,"Dubai, UAE",Electrical Engineer,Married,Bachelor,71945.0 AUD
Radwa Zaki,Radwa,Zaki,F,22-01-1973,17-05-2020,radwa.zaki@gmail.com,52.0,5,"Mansoura, Egypt",Enginear,Married,M.Sc.,7503.75 EUR
Zainab Osama,Zainab,Osama,F,11/02/2005,12/21/2025,ZOSAMA@GMAIL.COM,20.0,0,"Rabat, Morocco",Mechanical Engineer,Single,B.Sc.,
Fatima Hany,Fatima,Hany,F,22-09-1991,20-12-2018,fatima.hany@gmail.com,34.0,7,"Mexico City, Mexico",Mechanical Engineer,Married,High School,6582.75 USD
Wafaa Ayman,Wafaa,Ayman,F,1996/03/25,2020/03/28,wafaa.ayman@gmail.com,29.0,5,"Sharjah, UAE",Graphic Designer,,M.Sc.,7911.17 GBP
Ruqayya Tamer,Ruqayya,Tamer,F,17-04-1995,24-09-2019,rtamer@gmail.com,30.0,6,"Bangkok, Thailand",Accountant,Single,High School,7437.42 EGP
Sahar Mahmoud,Sahar,Mahmoud,F,17-01-1971,30-05-2005,sahar.mahmoud@gmail.com,54.0,20,"Dubai, UAE",Civil Enginere,Married,Bachelor,12185.33 USD
Ashraf Hussein,Ashraf,Hussein,M,07/15/1970,01/09/2008,ashraf.hussein@gmail.com,55.0,18,"Mansoura, Egypt",$Nurse,Married,Bachelor,109882.0 AUD
Hanan Hesham,Hanan,Hesham,F,02/21/2000,08/02/2018,hanan.hesham@gmail.com,25.0,7,"Sydney, Australia",Architect,Single,BS,81697.0 CAD
Hussein Waleed,Hussein,Waleed,M,1987/02/15,2006/01/30,hwaleed@gmail.com,38.0,20,"Mexico City, Mexico",Mechanical Enginere,Single,Masters,104599.0 CAD
Adel Mahmoud,Adel,Mahmoud,M,06/03/1978,07/10/1997,adel.mahmoud@gmail.com,47.0,28,"Tokyo, Japan",Electrical Enginere,Married,Diploma,9338.67 USD
Nour Youssef,Nour,Youssef,F,04-08-1996,24-12-2017,nour.youssef@gmail.com,29.0,8,"Tokyo, Japan",Software Develoeper,Single,B.Sc.,86295.0 EUR
Esraa Bassem,Esraa,Bassem,F,08-04-2004,05-02-2024,esraa.bassem@gmail.com,21.0,2,"Doha, Qatar",Lawyer,Single,M.Sc.,69411.0 EUR
Sahar Hesham,Sahar,Hesham,F,18-08-1966,16-10-2021,sahar.hesham@gmail.com,,4,"Dubai, UAE",Lawyer,Single,High School,56065.0 EGP
Latif Mounir,Latif,Mounir,M,09/08/1978,01/24/2005,LATIF.MOUNIR@GMAIL.COM,47.0,21,"Jeddah, KSA",buSineSS ANAlyst,,M.Sc.,107786.0 JPY
Mostafa Tamer,Mostafa,Tamer,M,10-09-2007,02-06-2025,mostafa.tamer@gmail.com,,0,"Istanbul, Turkey",Doctor,Married,High School,
Ziad Jamal,Ziad,Jamal,M,24-04-2002,10-03-2022,ziad.jamal at gmail.com,23.0,3,"Paris, France",Teacher,Married,Bachelor,4919.92 EUR
Omar Waleed,Omar,Waleed,M,08-08-2001,16-10-2022,omar.waleed@gmail.com,24.0,3,"Doha, Qatar",grapHIc DESIgNEr,Married,BS,62172.0 USD
Layla Nashaat,Layla,Nashaat,F,1981/03/16,2001/04/30,layla.nashaat@gmail.com,44.0,24,"Rabat, Morocco",BUsInESs AnAlYst,Single,High School,128059.0 AUD
Hesham Tamer,Hesham,Tamer,M,06-03-1967,02-01-2020,hesham.tamer@gmail.com,,6,"Kuwait City, Kuwait",Architect,Married,Diploma,74567.0 CAD
Mounir Latif,Mounir,Latif,M,07/07/1995,07/28/2019,mounir.latif@gmail.com,30.0,6,"Cairo, Egypt",Pharmacist,Unknown,BS,6132.83 CAD
Hassan Tarek,Hassan,Tarek,M,07/01/2005,06/11/2025,hassan.tarek@gmail.com,20.0,0,"Mansoura, Egypt",%MECHAniCal eNgiNeeR,Married,B.Sc.,
Amira Sami,Amira,Sami,F,10/06/1969,05/17/2023,amira.sami@gmail.com,,2,"Jeddah, KSA",Sales Manger,Married,M.Sc.,4435.83 USD
Yasmeen Medhat,Yasmeen,Medhat,F,1978/01/24,1998/09/28,yasmeen.medhat@gmail.com,47.0,27,"Riyadh, KSA",Data Scinetist,Married,Bachelor,113364.0 AUD
Jamal Fady,Jamal,Fady,M,1965/01/11,1997/11/01,jamal.fady@gmail.com,,28,"Beirut, Lebanon",&accountant,Married,M.Sc.,10775.58 EGP
Radwa Fady,Radwa,Fady,F,1985/02/11,2007/09/16,radwa.fady@gmail.com,40.0,18,"Amman, Jordan",$Accountant,Married,PhD,9982.83 EUR
Wafaa Tamer,Wafaa,Tamer,F,09/20/2003,07/17/2022,wafaa.tamer@gmail.com,22.0,3,"Abu Dhabi, UAE",Doctor,Married,BS,62913.0 USD
Menna Youssef,Menna,Youssef,F,12/25/1972,12/04/2010,myoussef@gmail.com,53.0,15,"Paris, France",Pharmacist,Single,M.Sc.,124987.0 EGP
Hala Ihab,Hala,Ihab,F,1996/08/15,2019/09/23,hala.ihab@gmail.com,29.0,6,"Beijing, China",Mechanical Engeneer,Married,Masters,88874.0 EUR
Abdullah Sherif*,Abdullah,Sherif,M,1967/06/08,2009/05/07,ABDULLAH.SHERIF@GMAIL.COM,,16,"Buenos Aires, Argentina",engineer,Single,Diploma,9347.0 CAD
Mounir Omar,Mounir,Omar,M,07/13/1973,05/09/1992,momar@gmail.com,52.0,33,"Dammam, KSA",Teachr,Single,Diploma,139282.0 EGP
Hossam Abdelrahman,Hossam,Abdelrahman,M,1987/02/16,2026/01/08,hossam.abdelrahman@gmail.com,38.0,0,"Paris, France",Software Developer,Single,Diploma,
Nader Hussein,Nader,Hussein,M,05-11-1965,01-11-1991,nader.hussein@gmail.com,,34,"New York, USA",lawyer,Married,Masters,10313.75 EUR
Lobna Fouad,Lobna,Fouad,F,22-09-2006,14-03-2025,lobna.fouad@gmail.com,,0,"Seoul, South Korea",Data Scientist,Married,BS,
Khadija Mahmoud,Khadija,Mahmoud,F,11-07-2002,23-11-2024,khadija.mahmoud@gmail.com,23.0,1,"Jeddah, KSA",Doctor,Unknown,Diploma,
Galal Ziad,Galal,Ziad,M,1997/11/06,2019/01/30,galal.ziad@gmail.com,28.0,7,"Sharjah, UAE",Electrical Engineer,Single,Diploma,6254.92 JPY
Abdelrahman Rafik,Abdelrahman,Rafik,M,11/03/1997,02/13/2023,arafik@gmail.com,28.0,3,"Cairo, Egypt",Architect,,High School,55814.0 JPY
Amr Galal,Amr,Galal,M,12/01/1998,01/25/2021,agalal@gmail.com,27.0,5,"Beirut, Lebanon",Electrical Engineer,Single,M.Sc.,87642.0 EUR
Mahmoud Hesham,Mahmoud,Hesham,M,03/18/2003,02/14/2022,mhesham@gmail.com,22.0,4,"Cape Town, South Africa",Electrical Engineer,S,BS,68163.0 JPY
Ashraf Mounir,Ashraf,Mounir,M,09/12/1984,05/04/2013,ashraf.mounir@gmail.com,41.0,12,"Kuwait City, Kuwait",Civil Engineer,Unknown,BS,137642.0 USD
Ruqayya Hesham,Ruqayya,Hesham,F,01/05/1968,03/26/2010,ruqayya.hesham at gmail.com,,15,"Bangkok, Thailand",$dentist,Single,Diploma,106033.0 USD
Sana Galal&,Sana,Galal,F,18-06-1970,02-01-2002,sana.galal@gmail.com,55.0,24,"New York, USA",Engineer,Married,High School,11211.67 EGP
Waleed Tamer,Waleed,Tamer,M,08/12/1993,12/14/2015,waleed.tamer@gmail.com,32.0,10,"Mansoura, Egypt",Engineer,Married,M.Sc.,115758.0 CAD
Amal Hossam,Amal,Hossam,F,21-08-2004,01-11-2025,amal.hossam@gmail.com,21.0,0,"Alexandria, Egypt",Sales Managr,Unknown,Diploma,
Aisha Saad,Aisha,Saad,F,13-01-1977,14-07-2019,asaad@gmail.com,48.0,6,"Mansoura, Egypt",Civil Engineer,Married,B.Sc.,96905.0 EGP
Tarek Saad,Tarek,Saad,M,2007/01/26,2025/07/21,tsaad@gmail.com,,0,"Dubai, UAE",Sales Manager,Single,High School,
Ihab Ashraf,Ihab,Ashraf,M,16-12-1988,12-10-2019,iashraf@gmail.com,37.0,6,"Istanbul, Turkey",Sales Manager,Single,M.Sc.,76678.0 EUR
Medhat Tamer,Medhat,Tamer,M,1970/07/15,1992/01/05,mtamer@gmail.com,55.0,34,"Buenos Aires, Argentina",Doctor,Single,B.Sc.,127400.0 AUD
Heba Ihab,Heba,Ihab,F,12/03/1999,01/11/2023,heba.ihab@gmail.com,26.0,3,"Los Angeles, USA",PHARMACIST,Single,PhD,62184.0 AUD
Waleed Sherif,Waleed,Sherif,M,21-01-1976,21-08-2015,wsherif@gmail.com,49.0,10,"New York, USA",Engeneer,Single,High School,148715.0 AUD
Sana Medhat,Sana,Medhat,F,05/04/1975,03/25/2010,sana.medhat@gmail.com,50.0,15,"Cape Town, South Africa",Architect,M,High School,102885.0 GBP
Noha Wael,Noha,Wael,F,14-01-1996,25-11-2020,nwael@gmail.com,29.0,5,"Tokyo, Japan",Lawyer,M,Masters,81300.0 USD
Sara Eslam,Sara,Eslam,F,1984/03/13,2014/05/03,seslam@gmail.com,41.0,11,"R@b@t, Morocco",Electrical Engineer,Married,Diploma,120443.0 AUD
Nada Ihab&,Nada,Ihab,F,04-04-1991,30-10-2025,nada.ihab@gmail.com,34.0,0,"Seoul, South Korea",Graphic Designer,Married,B.Sc.,
Sherif Nader,Sherif,Nader,M,01/19/1974,04/20/2002,snader@gmail.com,51.0,23,"Doha, Qatar",daTa scIENtiST,Single,High School,11081.58 JPY
Maha Ashraf,Maha,Ashraf,F,06/28/1985,05/18/2024,mashraf@gmail.com,40.0,1,"M3xico City, M3xico",sOftWARE DeveLopER,Unknown,B.Sc.,
Sara Nabil,Sara,Nabil,F,03/19/1986,04/06/2019,snabil at gmail.com,39.0,6,"Moscow, Russia",Lawyer,Single,High School,7790.17 JPY
Sherif Maged,Sherif,Maged,M,02-04-1967,19-04-2001,sherif.maged@gmail.com,,24,"Dubai, UAE",Software Developer,S,High School,133434.0 GBP
Omar Mahmoud,Omar,Mahmoud,M,19-02-1965,23-11-1995,omar.mahmoud at gmail.com,,30,"Dubai, UAE",Pharmacist,Single,Bachelor,10612.5 AUD
Reem Ahmed,Reem,Ahmed,F,11-11-2004,30-06-2023,reem.ahmed@gmail.com,21.0,2,"Doha, Qatar",Doctor,,Diploma,54218.0 JPY
Noha Kamal,Noha,Kamal,F,02-03-1992,10-11-2021,noha.kamal@gmail.com,33.0,4,"Bangkok, Thailand",Software Developer,Unknown,Masters,4195.08 EGP
Zainab Jamal,Zainab,Jamal,F,1992/06/19,2016/09/17,zainab.jamal@gmail.com,33.0,9,"Los Angeles, USA",Pharmacist,Married,PhD,7426.08 GBP
Layla Jamal,Layla,Jamal,F,2005/04/02,2025/05/21,layla.jamal@gmail.com,20.0,0,"Tokyo, Japan",Doctor,Single,High School,
Sherif Youssef,Sherif,Youssef,M,01-02-1981,08-05-2025,sherif.youssef@gmail.com,44.0,0,"Buenos Aires, Argentina",Civil Engineer,Married,M.Sc.,
 Ashraf Nashaat ,Ashraf,Nashaat,M,1971/04/23,2000/01/12,ashraf.nashaat@gmail.com,54.0,26,"Doha, Qatar",Civil Enginear,Married,M.Sc.,10225.42 USD
Menna Mostafa,Menna,Mostafa,F,10/12/2006,04/03/2025,menna.mostafa@gmail.com,,0,"Seoul, South Korea",Nurse,Married,M.Sc.,
Sherif Ziad,Sherif,Ziad,M,09-09-1998,21-07-2020,sherif.ziad@gmail.com,27.0,5,"Rabat, Morocco",accountant,Single,Masters,7809.25 CAD
Rania Medhat,Rania,Medhat,F,11/18/1978,01/21/2019,rania.medhat@gmail.com,47.0,7,"Doha, Qatar",Pharmacist,Single,BS,7025.58 EUR
Nader Ahmed,Nader,Ahmed,M,05-07-1986,16-06-2004,nader.ahmed@gmail.com,39.0,21,"Buenos Aires, Argentina",Mechanical Engineer,Married,B.Sc.,140879.0 EGP
 Salma Hossam ,Salma,Hossam,F,10-05-1987,14-04-2021,shossam@gmail.com,38.0,4,"Abu Dhabi, UAE",Dentist,Married,Masters,65564.0 JPY
Zaki Abdullah,Zaki,Abdullah,M,11/21/2000,05/28/2018,zaki.abdullah@gmail.com,25.0,7,"Kuwait City, Kuwait",Financial Annalyst,Single,High School,73644.0 AUD
Kamal Ramy,Kamal,Ramy,M,15-04-1997,03-12-2018,kamal.ramy@gmail.com,28.0,7,"Doha, Qatar",TEACHR,Single,High School,6610.67 USD
